rank1,rank2,rank3,rank4
Sarah A. Lucido,Larry Edwards,Harvey Curley,Mary Hall-Rayford
Mary Hall-Rayford,Larry Edwards,Sarah A. Lucido,Harvey Curley
Mary Hall-Rayford,Mary Hall-Rayford,Mary Hall-Rayford,Mary Hall-Rayford
Sarah A. Lucido,Larry Edwards,Harvey Curley,Mary Hall-Rayford
Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards
Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley
Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley
Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
Larry Edwards,Larry Edwards,Larry Edwards,Larry Edwards
Larry Edwards,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford
Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
Sarah A. Lucido,skipped,skipped,skipped
Larry Edwards,skipped,skipped,skipped
Larry Edwards,skipped,skipped,skipped
Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards
Larry Edwards,Larry Edwards,Larry Edwards,Larry Edwards
Larry Edwards,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido
Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Larry Edwards
Sarah A. Lucido,skipped,skipped,skipped
Mary Hall-Rayford,skipped,skipped,skipped
Larry Edwards,Larry Edwards,Sarah A. Lucido,writein
Larry Edwards,skipped,skipped,skipped
Larry Edwards,Larry Edwards,Larry Edwards,Larry Edwards
Larry Edwards,Sarah A. Lucido,Harvey Curley,skipped
Sarah A. Lucido,skipped,skipped,skipped
Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
Larry Edwards,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford
Sarah A. Lucido,Harvey Curley,skipped,skipped
Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards
Larry Edwards,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido
Larry Edwards,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford
Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards
Mary Hall-Rayford,Larry Edwards,skipped,skipped
Harvey Curley,Sarah A. Lucido,skipped,skipped
Larry Edwards,Larry Edwards,Larry Edwards,Larry Edwards
Mary Hall-Rayford,Larry Edwards,Harvey Curley,Sarah A. Lucido
Larry Edwards,Harvey Curley,skipped,skipped
Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley
Larry Edwards,Harvey Curley,Sarah A. Lucido,skipped
Larry Edwards,Sarah A. Lucido,writein,writein
skipped,skipped,skipped,skipped
Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,Harvey Curley
Sarah A. Lucido,Larry Edwards,Harvey Curley,Mary Hall-Rayford
Mary Hall-Rayford,Larry Edwards,skipped,skipped
Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
Larry Edwards,Larry Edwards,Larry Edwards,Larry Edwards
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards
Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley
Sarah A. Lucido,Larry Edwards,skipped,skipped
Sarah A. Lucido,Larry Edwards,skipped,skipped
Larry Edwards,skipped,skipped,skipped
Larry Edwards,skipped,skipped,skipped
Mary Hall-Rayford,Harvey Curley,Larry Edwards,Sarah A. Lucido
Mary Hall-Rayford,writein,writein,writein
Harvey Curley,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford
Sarah A. Lucido,Larry Edwards,Harvey Curley,Mary Hall-Rayford
Mary Hall-Rayford,Larry Edwards,Sarah A. Lucido,Harvey Curley
Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,Harvey Curley
Sarah A. Lucido,skipped,skipped,skipped
Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
Harvey Curley,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford
Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,Harvey Curley
Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,Harvey Curley
Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
Larry Edwards,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford
Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford,skipped
Larry Edwards,Larry Edwards,Sarah A. Lucido,Harvey Curley
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,skipped
Larry Edwards,Mary Hall-Rayford,Mary Hall-Rayford,Larry Edwards
Larry Edwards,Mary Hall-Rayford,skipped,skipped
Larry Edwards,Harvey Curley,skipped,skipped
Sarah A. Lucido,skipped,skipped,skipped
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,skipped
Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,Harvey Curley
skipped,skipped,skipped,skipped
Larry Edwards,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford
Larry Edwards,Sarah A. Lucido,Sarah A. Lucido,Mary Hall-Rayford
Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley
Larry Edwards,skipped,skipped,skipped
Mary Hall-Rayford,Larry Edwards,skipped,skipped
Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,skipped
Harvey Curley,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford
Larry Edwards,Larry Edwards,Larry Edwards,Larry Edwards
Mary Hall-Rayford,Larry Edwards,Sarah A. Lucido,Harvey Curley
Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley
Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
Harvey Curley,Sarah A. Lucido,Larry Edwards,skipped
Larry Edwards,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido
skipped,skipped,skipped,skipped
Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped
Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Sarah A. Lucido
Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped
Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped
Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford
Larry Edwards,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford
Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley
Larry Edwards,skipped,skipped,skipped
Larry Edwards,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford
Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
Sarah A. Lucido,Harvey Curley,skipped,skipped
Mary Hall-Rayford,Harvey Curley,skipped,skipped
Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards
Harvey Curley,Sarah A. Lucido,skipped,skipped
Mary Hall-Rayford,Larry Edwards,Sarah A. Lucido,Harvey Curley
Larry Edwards,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards
skipped,skipped,skipped,skipped
Larry Edwards,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford
Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,skipped
Larry Edwards,Sarah A. Lucido,writein,writein
Sarah A. Lucido,skipped,skipped,skipped
Harvey Curley,Harvey Curley,Harvey Curley,Harvey Curley
Harvey Curley,Sarah A. Lucido,Harvey Curley,Harvey Curley
Sarah A. Lucido,Larry Edwards,Harvey Curley,Mary Hall-Rayford
Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
Larry Edwards,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford
Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
Mary Hall-Rayford,Larry Edwards,Sarah A. Lucido,Harvey Curley
Harvey Curley,Larry Edwards,Larry Edwards,Larry Edwards
Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
writein,writein,writein,writein
Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,Harvey Curley
Sarah A. Lucido,skipped,skipped,skipped
Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford
Harvey Curley,Harvey Curley,Harvey Curley,Harvey Curley
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards
Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
Harvey Curley,Sarah A. Lucido,skipped,skipped
Harvey Curley,skipped,skipped,skipped
Harvey Curley,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford
Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido,Larry Edwards
Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford
Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley
Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
Harvey Curley,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido
Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford
Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
Mary Hall-Rayford,skipped,skipped,skipped
Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,Harvey Curley
Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards
Sarah A. Lucido,Harvey Curley,skipped,skipped
Harvey Curley,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford
Harvey Curley,Sarah A. Lucido,skipped,skipped
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards
Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards
Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
skipped,skipped,skipped,skipped
Harvey Curley,Sarah A. Lucido,skipped,skipped
Harvey Curley,Sarah A. Lucido,skipped,skipped
Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,Harvey Curley
Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards
Harvey Curley,Sarah A. Lucido,skipped,skipped
Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley
Harvey Curley,skipped,skipped,skipped
Harvey Curley,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford
Larry Edwards,skipped,skipped,skipped
Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards
Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley
Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
Harvey Curley,writein,writein,writein
Sarah A. Lucido,skipped,skipped,skipped
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards
Harvey Curley,Sarah A. Lucido,skipped,skipped
Sarah A. Lucido,Harvey Curley,skipped,skipped
Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
Harvey Curley,skipped,skipped,skipped
Harvey Curley,Sarah A. Lucido,skipped,skipped
Sarah A. Lucido,Harvey Curley,skipped,skipped
Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards
Harvey Curley,Larry Edwards,skipped,skipped
Harvey Curley,Harvey Curley,Harvey Curley,Harvey Curley
Harvey Curley,Sarah A. Lucido,skipped,skipped
Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards
Harvey Curley,Sarah A. Lucido,skipped,skipped
Harvey Curley,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford
Harvey Curley,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford
Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford
Larry Edwards,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford
Harvey Curley,Sarah A. Lucido,Larry Edwards,skipped
Harvey Curley,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido
Harvey Curley,skipped,skipped,skipped
Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
Harvey Curley,Mary Hall-Rayford,Larry Edwards,Sarah A. Lucido
Larry Edwards,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford
skipped,skipped,skipped,skipped
Harvey Curley,skipped,skipped,skipped
Sarah A. Lucido,Harvey Curley,skipped,skipped
Harvey Curley,skipped,skipped,skipped
Harvey Curley,Larry Edwards,writein,writein
Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
Harvey Curley,Sarah A. Lucido,overvote,overvote
Mary Hall-Rayford,Harvey Curley,writein,writein
Sarah A. Lucido,Harvey Curley,skipped,skipped
Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards
skipped,skipped,skipped,skipped
Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
Mary Hall-Rayford,Harvey Curley,Larry Edwards,Sarah A. Lucido
Mary Hall-Rayford,Larry Edwards,Sarah A. Lucido,Harvey Curley
Larry Edwards,Sarah A. Lucido,skipped,skipped
Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,skipped
Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,Harvey Curley
skipped,skipped,skipped,skipped
Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
Harvey Curley,Sarah A. Lucido,skipped,skipped
Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
Harvey Curley,Harvey Curley,Harvey Curley,Harvey Curley
Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards
Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
skipped,skipped,skipped,skipped
Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford
Harvey Curley,Sarah A. Lucido,skipped,skipped
Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley
Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,Harvey Curley
Harvey Curley,Mary Hall-Rayford,skipped,skipped
Harvey Curley,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido
Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards
Mary Hall-Rayford,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley
Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
skipped,skipped,skipped,skipped
Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
Sarah A. Lucido,skipped,skipped,skipped
Larry Edwards,Larry Edwards,Larry Edwards,Larry Edwards
Harvey Curley,Sarah A. Lucido,skipped,skipped
Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford
Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
Mary Hall-Rayford,skipped,skipped,skipped
Mary Hall-Rayford,Larry Edwards,Sarah A. Lucido,Harvey Curley
Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford
Harvey Curley,Harvey Curley,Harvey Curley,Sarah A. Lucido
Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards
Harvey Curley,Mary Hall-Rayford,Larry Edwards,Sarah A. Lucido
Sarah A. Lucido,skipped,skipped,skipped
Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards
Mary Hall-Rayford,Harvey Curley,Larry Edwards,Sarah A. Lucido
Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
Harvey Curley,Sarah A. Lucido,skipped,skipped
Harvey Curley,Harvey Curley,Harvey Curley,Harvey Curley
Mary Hall-Rayford,Larry Edwards,Sarah A. Lucido,Harvey Curley
Sarah A. Lucido,Harvey Curley,skipped,skipped
Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards
Sarah A. Lucido,skipped,skipped,skipped
Larry Edwards,Harvey Curley,skipped,skipped
Mary Hall-Rayford,Mary Hall-Rayford,Mary Hall-Rayford,Mary Hall-Rayford
Mary Hall-Rayford,Mary Hall-Rayford,Mary Hall-Rayford,Mary Hall-Rayford
Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards
Mary Hall-Rayford,Mary Hall-Rayford,Mary Hall-Rayford,Mary Hall-Rayford
Sarah A. Lucido,skipped,skipped,skipped
Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards
Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford
Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
Harvey Curley,Larry Edwards,skipped,skipped
Harvey Curley,skipped,skipped,skipped
Sarah A. Lucido,Harvey Curley,Larry Edwards,skipped
Harvey Curley,skipped,skipped,skipped
Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
Harvey Curley,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford
Larry Edwards,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford
Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards
Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards
skipped,Harvey Curley,Harvey Curley,Harvey Curley
Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards
Mary Hall-Rayford,Harvey Curley,skipped,skipped
Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
Sarah A. Lucido,skipped,skipped,skipped
Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards
Harvey Curley,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford
Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,skipped
Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards
Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,writein
Harvey Curley,skipped,skipped,skipped
Larry Edwards,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido
Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford
Sarah A. Lucido,Larry Edwards,Harvey Curley,Mary Hall-Rayford
Harvey Curley,Harvey Curley,Harvey Curley,Harvey Curley
Harvey Curley,Harvey Curley,skipped,skipped
Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido,Larry Edwards
Mary Hall-Rayford,skipped,skipped,skipped
Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,skipped
Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
Harvey Curley,Mary Hall-Rayford,skipped,skipped
Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford
overvote,overvote,overvote,overvote
Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
Mary Hall-Rayford,Harvey Curley,Larry Edwards,Sarah A. Lucido
Harvey Curley,Sarah A. Lucido,skipped,skipped
Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards
Sarah A. Lucido,Larry Edwards,Harvey Curley,Mary Hall-Rayford
Larry Edwards,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford
Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped
Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped
Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
Larry Edwards,skipped,skipped,skipped
Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
Sarah A. Lucido,skipped,skipped,skipped
Larry Edwards,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford
Sarah A. Lucido,Harvey Curley,skipped,skipped
Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,writein
Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards
Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford
Mary Hall-Rayford,Larry Edwards,skipped,skipped
Sarah A. Lucido,Harvey Curley,skipped,skipped
Mary Hall-Rayford,Larry Edwards,skipped,skipped
Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
Mary Hall-Rayford,Harvey Curley,skipped,skipped
Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido,Larry Edwards
Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
Sarah A. Lucido,Larry Edwards,Harvey Curley,Mary Hall-Rayford
Harvey Curley,skipped,skipped,skipped
Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
Larry Edwards,Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido
Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
Harvey Curley,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido
Mary Hall-Rayford,Larry Edwards,Harvey Curley,Sarah A. Lucido
Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
Larry Edwards,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido
Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
Larry Edwards,Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido
skipped,skipped,skipped,skipped
Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
Harvey Curley,Larry Edwards,skipped,skipped
Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
skipped,skipped,skipped,skipped
Sarah A. Lucido,Larry Edwards,Harvey Curley,skipped
Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
Larry Edwards,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford
Harvey Curley,skipped,skipped,skipped
Sarah A. Lucido,skipped,skipped,skipped
Larry Edwards,Sarah A. Lucido,skipped,skipped
Larry Edwards,Sarah A. Lucido,skipped,skipped
Harvey Curley,skipped,skipped,skipped
Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
Sarah A. Lucido,Larry Edwards,skipped,skipped
Harvey Curley,Larry Edwards,skipped,skipped
Harvey Curley,Larry Edwards,skipped,skipped
Harvey Curley,Sarah A. Lucido,skipped,skipped
Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
